date,dayofweek
01/01/2019,Tuesday
01/02/2019,Wednesday
01/03/2019,Thursday
01/04/2019,Friday
01/05/2019,Saturday
01/06/2019,Sunday
01/07/2019,Monday
01/08/2019,Tuesday
01/09/2019,Wednesday
01/10/2019,Thursday
01/11/2019,Friday
01/12/2019,Saturday
01/13/2019,Sunday
01/14/2019,Monday
01/15/2019,Tuesday
01/16/2019,Wednesday
01/17/2019,Thursday
01/18/2019,Friday
01/19/2019,Saturday
01/20/2019,Sunday
01/21/2019,Monday
01/22/2019,Tuesday
01/23/2019,Wednesday
01/24/2019,Thursday
01/25/2019,Friday
01/26/2019,Saturday
01/27/2019,Sunday
01/28/2019,Monday
01/29/2019,Tuesday
01/30/2019,Wednesday
01/31/2019,Thursday
02/01/2019,Friday
02/02/2019,Saturday
02/03/2019,Sunday
02/04/2019,Monday
02/05/2019,Tuesday
02/06/2019,Wednesday
02/07/2019,Thursday
02/08/2019,Friday
02/09/2019,Saturday
02/10/2019,Sunday
02/11/2019,Monday
02/12/2019,Tuesday
02/13/2019,Wednesday
02/14/2019,Thursday
02/15/2019,Friday
02/16/2019,Saturday
02/17/2019,Sunday
02/18/2019,Monday
02/19/2019,Tuesday
02/20/2019,Wednesday
02/21/2019,Thursday
02/22/2019,Friday
02/23/2019,Saturday
02/24/2019,Sunday
02/25/2019,Monday
02/26/2019,Tuesday
02/27/2019,Wednesday
02/28/2019,Thursday
03/01/2019,Friday
03/02/2019,Saturday
03/03/2019,Sunday
03/04/2019,Monday
03/05/2019,Tuesday
03/06/2019,Wednesday
03/07/2019,Thursday
03/08/2019,Friday
03/09/2019,Saturday
03/10/2019,Sunday
03/11/2019,Monday
03/12/2019,Tuesday
03/13/2019,Wednesday
03/14/2019,Thursday
03/15/2019,Friday
03/16/2019,Saturday
03/17/2019,Sunday
03/18/2019,Monday
03/19/2019,Tuesday
03/20/2019,Wednesday
03/21/2019,Thursday
03/22/2019,Friday
03/23/2019,Saturday
03/24/2019,Sunday
03/25/2019,Monday
03/26/2019,Tuesday
03/27/2019,Wednesday
03/28/2019,Thursday
03/29/2019,Friday
03/30/2019,Saturday
03/31/2019,Sunday
04/01/2019,Monday
04/02/2019,Tuesday
04/03/2019,Wednesday
04/04/2019,Thursday
04/05/2019,Friday
04/06/2019,Saturday
04/07/2019,Sunday
04/08/2019,Monday
04/09/2019,Tuesday
04/10/2019,Wednesday
04/11/2019,Thursday
04/12/2019,Friday
04/13/2019,Saturday
04/14/2019,Sunday
04/15/2019,Monday
04/16/2019,Tuesday
04/17/2019,Wednesday
04/18/2019,Thursday
04/19/2019,Friday
04/20/2019,Saturday
04/21/2019,Sunday
04/22/2019,Monday
04/23/2019,Tuesday
04/24/2019,Wednesday
04/25/2019,Thursday
04/26/2019,Friday
04/27/2019,Saturday
04/28/2019,Sunday
04/29/2019,Monday
04/30/2019,Tuesday
05/01/2019,Wednesday
05/02/2019,Thursday
05/03/2019,Friday
05/04/2019,Saturday
05/05/2019,Sunday
05/06/2019,Monday
05/07/2019,Tuesday
05/08/2019,Wednesday
05/09/2019,Thursday
05/10/2019,Friday
05/11/2019,Saturday
05/12/2019,Sunday
05/13/2019,Monday
05/14/2019,Tuesday
05/15/2019,Wednesday
05/16/2019,Thursday
05/17/2019,Friday
05/18/2019,Saturday
05/19/2019,Sunday
